Name,Won,Lost,Ratio(W/L)
Dean Zahavy,2,0,2.000
dudu,3,2,1.500
EyalTheGreat,5,4,1.250
Dean,1,1,1.000
name,1,1,1.000
EyalHasAPines,1,0,1.000
EyalWithVegina,1,0,1.000
Server,12,21,0.571
Ariel,0,5,0.000
